State,Year,totalSBLoans_1mil,cpi_1990,totalSBLoans_1mil_cpiadj,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj,sb1mil_loanRatio
04,2018,4192039,192.22,2180854.74976589,97447078.9230839,10561883.3825977,52541745.8778527,184878.969247576,27411193.5464029,12067247.0987249,5203779.24011392,1998159.18896638,1611210.59096155,47894.5685074729,0.180725125782527
05,2005,2389577,148.2347606502,1612022.03148481,36373465.2304296,3835855.64049071,23558549.3808953,703873.138467003,16908502.0209327,3459182.57195157,2156273.36774189,229388.856150869,2055811.86556684,562422.622249815,0.4660124170825
05,2006,2341751,154.4335307984,1516348.80578944,37826308.7417518,3816386.35711297,24921672.7327054,689054.967715923,18197635.4568741,3586858.57276287,2058227.65818068,214447.432136335,2068522.83096532,518713.564470918,0.422751211130532
05,2007,2661126,158.5920586446,1677969.26450366,39053485.0910523,4152741.9593481,26044634.2584902,698600.249066198,19218018.7982365,3614795.26266974,2095555.5013828,233004.752394004,1947714.55372745,504234.113467554,0.464194827804542
05,2008,2259222,166.4201201124,1357541.38290137,38407146.2566108,4046284.8163418,25480836.3353769,704831.823794828,18434917.4303038,3814728.05142028,2074373.71630394,228424.771211328,1821194.51656788,469155.277656058,0.355868456309996
05,2009,1125014,164.3745129502,684421.191465882,39103887.2027662,4208080.80554496,25847726.0720679,690550.167331188,19241920.0395335,3583535.5890568,2031136.06318748,244767.441866689,1736940.51838875,430259.652718379,0.190990482571439
05,2010,1441277,166.2180911258,867099.95899856,39748816.3889645,4411562.90415119,24977498.4862108,756166.431861422,18684160.9193859,3486661.05184621,1922665.47898658,254516.558669387,1656760.56364057,411611.70520805,0.248690637290202
05,2011,1637926,172.0395699358,952063.528530805,38060110.5956305,4297293.48621283,22880731.771628,736925.106978887,17186870.5128053,3256203.62564005,1588309.78095949,245947.266885245,1390978.76089598,361029.546304851,0.292384518288123
05,2012,1653685,174.8848853416,945584.861018654,38114302.4228198,4441162.64829869,22463078.1454834,805845.521965863,16642482.8667515,3296721.33856824,1531989.36169119,305782.941705178,1314590.24019021,360858.361095923,0.286825838130838
05,2013,1672463,177.8855510292,940190.470964932,37132446.3535517,4332812.31935468,22090151.4332466,711087.258001398,16211618.7770708,3366485.88955328,1445475.40237048,283776.910817144,1295556.56958395,311752.789646524,0.279279492565968
05,2014,1754088,181.548176264,966183.211584167,36920151.4680707,4450853.95398573,22374767.0673515,738716.198900978,16264972.1100391,3483518.80828167,1417171.59540295,291439.945997905,1289309.04732848,321378.721347242,0.277358402454201
05,2015,1887468,181.8741852284,1037787.74191054,38788727.5736751,4724590.14468626,24180098.5126659,825680.858638794,17331517.0440037,3811748.341573,1608672.78046672,437730.15638796,1339122.52415094,346800.234619589,0.272260298664489
05,2016,1966526,183.7774361808,1070058.45813701,41726504.1330188,5223568.58795702,26830887.6001963,867668.693832099,19284367.6866077,4108685.26367229,1689860.42302939,424700.60868245,1500956.46319704,363183.173748289,0.260438166826292
05,2017,2244594,186.865346682,1201182.58406668,43111462.5271084,5436606.10146747,27959208.5556582,862883.990932711,20153080.3681611,4160560.42286147,1916790.65536602,373763.576179993,1505368.93346274,353182.47286668,0.288706919737642
05,2018,2187343,192.22,1137937.25939028,43651786.97907,5635273.7373177,29105418.8035112,816164.052984736,20988161.9670759,4392126.32483585,2080035.15652472,361404.150483851,1576652.87809944,348694.53239123,0.259085730971732
06,2005,33090243,148.2347606502,22322863.3114505,837377567.182485,80203059.3915309,590706067.107449,2668333.2015481,461617979.150466,66220985.0039694,38052686.257291,2219702.07415701,13628427.0114336,631975.667426048,0.337096515705897
06,2006,40866106,154.4335307984,26461938.5367464,812284689.782176,77884365.7679357,565956485.754283,2899707.78666402,438224152.903917,68620243.6988286,34868411.0770974,4265399.44665913,13537666.3840377,623271.018291509,0.385628746130468
06,2007,45090369,158.5920586446,28431668.8902098,888021411.851826,87989283.3539443,576020508.806383,3384447.78803095,398747053.050081,94597809.8319027,50168045.2721691,9823945.8456719,16249039.7269131,649249.538758822,0.300553141142823
06,2008,36690919,166.4201201124,22047165.3158398,896645906.887959,79957805.2578093,564829921.852088,3558461.50498317,370833744.178538,107573562.91475,54995305.6137569,12050827.1422942,15873454.7395005,612396.449912384,0.204949661594009
06,2009,23434727,164.3745129502,14256910.3806865,967169801.851652,95596809.3553213,546555623.268506,3896676.06598615,350849860.496206,112829255.986196,56588728.1904423,12969421.0263839,15972290.7444327,689418.5041384,0.126358276991836
06,2010,21402031,166.2180911258,12875873.4112776,931797429.165698,103423215.741137,499091480.242592,3193444.30637831,327214579.15858,90807486.7936548,55913178.7882724,10054739.744222,14153786.5671784,487862.715886487,0.141793081891319
06,2011,23197413,172.0395699358,13483765.9781738,855366899.906257,96940090.0045257,458860642.18258,2976481.42328132,293470663.412162,88161923.6032981,44060046.5218775,8544117.12126329,12542607.7883555,384035.469443301,0.152943191653198
06,2012,23515846,174.8848853416,13446471.3483197,856379361.363099,99249038.6294102,463797440.29664,3340802.4693867,282418037.98286,99780960.6649806,47217472.3353433,14518452.393334,12818085.4731081,363285.943842172,0.134759890651553
06,2013,24664218,177.8855510292,13865217.1900973,863332196.809687,98570981.3185776,474490882.01214,3428377.85945272,277531726.647193,104162923.313715,46726020.2780217,13057008.7052849,12954124.2565957,352552.289862767,0.133110868522175
06,2014,26944025,181.548176264,14841253.4647658,888786846.511328,102138147.07446,486921741.468494,3160880.45446777,277904763.167437,108958944.315738,47125376.6593411,12756328.6554325,12737741.8891897,320538.954042007,0.136209593053318
06,2015,28936189,181.8741852284,15910003.3705507,943446608.306425,107652288.415797,517451736.793908,3438386.88727821,279223650.41917,118199456.243234,60618341.6888402,25347419.0244446,14006335.0082942,471089.329732868,0.13460301659773
06,2016,29912414,183.7774361808,16276434.48599,1010829282.82842,114632516.002722,562910431.63209,3616677.1738112,294137732.349507,132428342.618182,64452676.7889744,26884694.1307443,15400394.5758653,493529.823705448,0.122907484638075
06,2017,29424652,186.865346682,15746446.5843813,1034351525.12506,115933268.544015,571093712.978713,3551908.16381159,303069943.571143,130594208.166981,64352673.9426959,27573868.639191,15353134.9513634,476642.824022761,0.120575382364947
06,2018,31465822,192.22,16369692.0195609,1028206210.20075,114151585.767902,578901688.491427,3493487.51426121,307482090.33017,130380157.88163,62505120.3190919,27999439.5494589,15215050.452477,448669.693533348,0.125553552668825
08,2005,5227672,148.2347606502,3526616.81853159,69994674.8030044,6595425.13437669,46065821.4343033,795691.694842929,33286700.2878242,6008413.48774742,3981342.78431519,822538.524591443,2222750.43007409,398155.659775204,0.586946425328949
08,2006,5889927,154.4335307984,3813891.30297669,72298060.4393109,6748505.08919239,45965535.4455534,879118.192587704,32914455.5522449,6184206.01831407,4062559.46556511,772005.729502889,2243962.48273102,398289.484428315,0.616714787910061
08,2007,6497980,158.5920586446,4097292.16931459,76739642.378217,7980997.24441216,48392217.6033472,1034587.42933534,33456473.29125,7180646.53068259,4638462.07374386,1005381.98118276,2494818.19106943,419632.573302925,0.570602125004627
08,2008,6056418,166.4201201124,3639234.24397813,78433581.4029057,7565549.72459407,48582359.5303147,1060311.80260417,31580874.0564011,8823735.61727737,4842350.48869205,1052241.31716628,2436777.87695196,375921.043029154,0.412436909017572
08,2009,4000690,164.3745129502,2433887.05961494,77282952.3546302,7406068.89966933,47705038.4723464,859762.758742553,32605015.8186654,8069514.86284004,4597187.57214032,1128361.8161464,2284089.30445742,379625.351064106,0.301615041422495
08,2010,3685281,166.2180911258,2217135.91766064,78482182.4358715,8156266.54456337,45916241.0138178,774039.599363431,32302520.7159961,6721157.46428677,4477147.24347666,876507.118855401,1930181.29407258,351699.487232548,0.329874122045423
08,2011,4082995,172.0395699358,2373288.3089185,79876636.6979837,8234236.50013768,44004775.44593,784295.432815389,29293480.6811581,7085551.43031007,4736820.11536275,1225955.46069141,1769653.32292258,311926.980839079,0.334947580616833
08,2012,3907502,174.8848853416,2234328.02232596,78895681.9952683,8293776.55197069,43574181.3043771,805409.982759296,27996348.8509871,7668069.72050711,4578980.82460666,1294608.74256574,1631207.44513671,298015.369348187,0.291380765142313
08,2013,4196725,177.8855510292,2359227.59084076,82222861.2673475,8609056.89153876,45171128.6000765,815983.70616381,28468857.6230952,7993920.15455687,4852814.67598715,1389951.36401231,1705941.18372294,280500.660056437,0.295127740235921
08,2014,4362191,181.548176264,2402773.24166379,81426390.8111537,8476122.06543025,45022748.0325017,867055.873272673,27948890.1867773,8196608.80271925,4722645.11650103,1333231.50799993,1668847.63272826,312374.998508865,0.293142359175012
08,2015,4631555,181.8741852284,2546570.85841162,87012125.7104736,8923284.79859555,49225027.845801,979090.491320983,30122634.8142421,9108510.09396074,5114685.97522782,1538833.17717142,1798454.89547639,354385.489336991,0.279581493805456
08,2016,4841687,183.7774361808,2634538.33104775,92725356.1443055,9486251.07593775,53254507.0596321,1029658.69700876,31996853.0097409,10115707.4807011,5549641.67043467,1741292.14517642,1909342.66239457,375119.48517457,0.260440343502811
08,2017,4953925,186.865346682,2651066.71084949,94075767.0998075,9637675.32547521,54238936.7859436,945355.951709099,32724333.2505553,10049004.5743043,5540220.95327951,1848324.34818521,1981037.15584629,338309.325293531,0.263813862482298
08,2018,5164477,192.22,2686753.19945895,94269713.1505223,9816786.41772311,55351617.2379261,932847.771424799,33058361.1750541,10549336.088845,5457497.86198979,1971255.64494489,2043712.86454105,325590.518949942,0.254684577003851
09,2005,2961292,148.2347606502,1997704.17344146,80058008.638189,8966474.88266031,46271675.1455016,43438.5290864406,33294797.8537721,7902782.35132494,2773433.75522259,234077.560386465,2507961.04700776,7046.13054170903,0.252784916075353
09,2006,3289932,154.4335307984,2130322.33543551,81446457.2667814,8864115.65269133,49988592.1761177,52838.2379625287,36469075.5905776,8426857.75290316,2727489.88724586,173929.218087443,2239352.29221153,9238.20991880292,0.25280150655226
09,2007,3640722,158.5920586446,2295652.14747527,86779710.3459908,10456338.4519341,52321200.9507987,48239.3647087289,36632992.1422641,9831662.47665234,3452477.26909982,396211.563736008,2711952.84545093,10100.0892951947,0.233495825647682
09,2008,3160055,166.4201201124,1898841.91759128,91905723.5818714,10582188.9367641,55291782.6407214,40297.7092960973,38038808.6505023,10898961.1928901,3832368.27066622,441174.461817525,2364596.65162714,9909.46758173588,0.174222284489826
09,2009,1936034,164.3745129502,1177818.85114182,87128580.7971865,9942825.75882441,51048190.0036031,37314.3909652438,36825875.5567203,9443037.71785627,3397959.58520678,456500.963755976,2316275.96125207,8824.96789164974,0.12472880934433
09,2010,1715673,166.2180911258,1032181.86924161,92079671.7229942,11041229.3461914,51036299.4282372,69403.7912262383,36919947.1330214,8972942.40360342,3735499.87387128,496640.093114428,2346776.2209124,14697.5148169188,0.115032708649405
09,2011,2167612,172.0395699358,1259949.67367617,89577944.7806945,10874771.3943503,49510255.5657714,59280.198133498,34649488.7717824,9525939.4313322,3341629.53137349,487866.954981836,2328458.23116002,8780.41526150619,0.132265135922659
09,2012,2350105,174.8848853416,1343801.09259275,85995197.727926,10566772.7457013,48462224.6452744,58540.0380806591,33652772.2540928,9280674.0959553,3373360.50756351,871525.610217779,1708309.40261349,7349.45262683666,0.144795634314797
09,2013,2337558,177.8855510292,1314079.74761047,86465952.9635808,10198902.2792692,50232757.8466107,53559.5795451166,33673287.1672924,9835242.94163609,3432483.81342716,778722.689281079,1931033.84762897,7569.96016299008,0.133609281988094
09,2014,2341747,181.548176264,1289876.35579149,89484540.2853489,10670058.3815569,52463013.8574714,51437.8965117862,34177729.911388,10765464.2370601,3714049.47792527,779224.594362108,1722276.87741107,6778.88330224937,0.119816138662288
09,2015,2481777,181.8741852284,1364557.04083752,94070429.4490421,10925912.6304879,56461143.6690718,50518.9596231796,35193218.1865398,11746167.8914825,5280115.87357872,2186015.34555698,2174108.44584172,6333.13996276442,0.116170401567902
