year,FIPS_state,cpi_1990,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj
2005,53,148.2347606502,96416219.4245891,9220363.93805962,65063518.6540894,709193.454197059,46104147.3291687,9980290.43246887,4448251.80159063,549219.625000643,2837990.21376937,321349.877098182
2005,54,148.2347606502,23374439.8394341,2217013.06076203,15059475.575625,25380.0029134351,10663805.7093934,2100330.95438315,1700884.42616873,159389.397305205,1050099.56309725,18490.3772411819
2005,55,148.2347606502,103833489.824734,9825405.76837036,72030123.1586997,853020.184902207,49658278.4056552,12651139.2209671,6067461.03702839,1803594.2903967,4580394.94995813,629534.446137734
2005,56,148.2347606502,7342976.89878293,754054.013814942,4785044.04903103,251416.914560287,2974537.59074692,833758.721600789,615342.367160334,41889.8575227133,503739.416827202,180106.948086284
2006,01,154.4335307984,64772550.0093594,6371629.58639868,44066766.6282035,237904.169991389,31834405.1085165,6875173.82294014,3624030.31168577,127985.411744841,3145933.99534113,182703.689450294
2006,02,154.4335307984,6068709.86882205,696479.6073128,3906297.94610712,39922.5818076443,2534999.75392157,817717.922414792,329314.790630109,44644.3210946134,312383.954101591,11728.3813714905
2006,04,154.4335307984,131846849.971752,12880766.4029846,87572743.7262323,273200.305446616,35683171.9626193,11495151.8072173,37607700.5464766,33845003.917368,4390665.1838268,82254.0495140839
2006,05,154.4335307984,37826308.7417518,3816386.35711297,24921672.7327054,689054.967715923,18197635.4568741,3586858.57276287,2058227.65818068,214447.432136335,2068522.83096532,518713.564470918
2006,06,154.4335307984,812284689.782176,77884365.7679357,565956485.754283,2899707.78666402,438224152.903917,68620243.6988286,34868411.0770974,4265399.44665913,13537666.3840377,623271.018291509
2006,08,154.4335307984,72298060.4393109,6748505.08919239,45965535.4455534,879118.192587704,32914455.5522449,6184206.01831407,4062559.46556511,772005.729502889,2243962.48273102,398289.484428315
2006,09,154.4335307984,81446457.2667814,8864115.65269133,49988592.1761177,52838.2379625287,36469075.5905776,8426857.75290316,2727489.88724586,173929.218087443,2239352.29221153,9238.20991880292
2006,10,154.4335307984,222471759.103481,50724013.9350345,129241498.880883,30413.0942015681,51448878.1979408,7685101.83307165,71179940.7645275,58708085.4163055,4637569.91028392,4483.59632204058
2006,11,154.4335307984,25872653.7505719,2397111.09908874,16429790.4208333,17502.1486841972,10917375.6692614,2967287.88102461,1456386.35631737,155738.727591298,405757.725323867,4272.9028011946
2006,12,154.4335307984,380040140.582655,36357979.7515867,250817698.152312,394322.424340927,187443670.522477,33886581.1095436,15938960.5449238,795624.774010231,6728048.44737531,130091.364764799
2006,13,154.4335307984,166953962.470891,17596661.0379285,109873068.195959,378734.67880955,78286230.5605473,16976557.4677562,8730353.92681932,538504.674408692,4950729.52079957,231065.788855529
2006,15,154.4335307984,24074854.3455898,2858974.14308128,13829893.5073033,2889.54694729786,9846777.84026212,2132402.12195716,1318133.41528238,177431.279820664,670519.482696298,3397.53146340287
2006,16,154.4335307984,26326038.0517381,10229205.2552205,13666292.2507412,351025.970429454,7257288.8731133,3876968.1021467,1616916.82079459,793906.18582835,712431.968694281,174597.493712161
2006,17,154.4335307984,358157107.316319,32229639.8736319,204343117.737495,2022132.62879181,129976035.230238,43256743.7498221,17859648.5475643,2603078.01861697,9442141.84896108,1522949.82878563
2006,18,154.4335307984,95049077.9694554,9255868.50905049,60898134.1041779,679235.441571456,43068140.2417287,10322704.634781,4796543.57079832,528803.469462952,3684316.70770843,498861.749149053
2006,19,154.4335307984,47205582.9224646,4539050.51792593,32767807.0253257,3174412.81493993,20503963.9099348,5864221.79136674,2380817.2695538,293449.169365302,3184706.89977442,2651651.0139183
2006,20,154.4335307984,47234995.1040943,4488002.91905035,30784226.8203959,1783455.25630839,21037444.7447341,4970910.42315602,2178543.56887728,260647.924506807,2319936.90705203,1313274.94505154
2006,21,154.4335307984,57685041.4813449,5507800.49191138,38085327.6564911,428723.917541342,25923979.5124412,5991810.65208835,3416910.03897475,366918.142411115,2319125.32904871,271181.664393685
2006,22,154.4335307984,72403295.9374928,7972272.31600996,38330876.3187013,320867.795885365,24003831.7433253,6996227.82932061,5153535.85975047,565456.371684116,2769414.87152016,228497.694060184
2006,23,154.4335307984,18693563.8761951,2161086.63233543,13351705.6640319,89117.6384332567,9542852.56069895,2032265.98215882,1174996.66368186,44828.928420024,820454.903931571,63795.3737172208
2006,24,154.4335307984,93000664.7932748,9073711.66366863,60894991.0036423,88826.5415601539,43997353.6312259,9405838.77781805,4527057.61535371,73874.8909663873,2563574.37589806,43022.433430239
