SBA.Physical.Declaration.Number,SBA.EIDL.Declaration.Number,FEMA.Disaster.Number,SBA.Disaster.Number,Damaged.Property.City.Name,Damaged.Property.Zip.Code,Damaged.Property.County.Parish.Name,Damaged.Property.State.Code,Total.Verified.Loss,Verified.Loss.Real.Estate,Verified.Loss.Content,Total.Approved.Loan.Amount,Approved.Amount.Real.Estate,Approved.Amount.Content,Approved.Amount.EIDL,Year
3383,9N72,1398DR,MS-L0148,SLEDGE,38670,QUITMAN,MS,371877,309278,62599,283200,232200,51000,18400,2002
3383,9N72,1398DR,MS-L0148,SLEDGE,38670,TUNICA,MS,11639,11639,0,11700,11700,0,0,2002
3383,9N72,1398DR,MS-L0148,TUTWILER,38963,TALLAHATCHIE,MS,69365,69365,0,10000,10000,0,0,2002
3383,9N72,1398DR,MS-L0148,VICKSBURG,39183,WARREN,MS,0,0,0,138100,0,138100,138100,2002
3383,9N72,1398DR,MS-L0148,WEBB,38966,TALLAHATCHIE,MS,17496,17046,450,20900,12700,8200,7700,2002
3383,9N72,1398DR,MS-L0148,WINTERVILLE,38782,WASHINGTON,MS,295599,252158,43441,150500,125800,24700,3900,2002
3384,9N76,1399DR,AL-L0139,ALTOONA,35952,ETOWAH,AL,100762,71162,29600,10000,0,10000,0,2002
3384,9N76,1399DR,AL-L0139,ANNISTON,36207,CALHOUN,AL,22196,21146,1050,0,0,0,0,2002
3384,9N76,1399DR,AL-L0139,BEAVERTON,35544,LAMAR,AL,1230,1230,0,37700,14700,23000,23000,2002
3384,9N76,1399DR,AL-L0139,CEDAR BLUFF,35959,CHEROKEE,AL,34025,34025,0,39800,27900,11900,11900,2002
3384,9N76,1399DR,AL-L0139,DALEVILLE,36322,DALE,AL,1720903,1419893,301010,993100,685900,307200,98600,2002
3384,9N76,1399DR,AL-L0139,HALEYVILLE,35565,WINSTON,AL,1646810,1377887,268923,1272900,695200,477700,316500,2002
3384,9N76,1399DR,AL-L0139,LEESBURG,35983,CHEROKEE,AL,51500,45500,6000,0,0,0,0,2002
3384,9N76,1399DR,AL-L0139,PELL CITY,35125,ST CLAIR,AL,81872,78732,3140,93500,73600,19900,9800,2002
3384,9N76,1399DR,AL-L0139,SAND ROCK,35983,CHEROKEE,AL,101786,75136,26650,99500,75200,24300,600,2002
3384,9N76,1399DR,AL-L0139,SYLACANGA,35150,TALLADEGA,AL,7007,7007,0,0,0,0,0,2002
3384,9N76,1399DR,AL-L0139,SYLACAUGA,35150,TALLADEGA,AL,27992,18164,9828,0,0,0,0,2002
3385,9N80,,IN-L0140,GWYNNEVILLE,46144,SHELBY,IN,148176,121156,27020,0,0,0,0,2002
3385,9N80,,IN-L0140,SHELBYVILLE,46176,SHELBY,IN,1123591,1118191,5400,130100,118200,11900,6500,2002
3386,9N81,,AR-L0161,DUMAS,71639,DESHA,AR,16577,16577,0,0,0,0,0,2002
3386,9N81,,AR-L0161,WEST MEMPHIS,72301,CRITTENDEN,AR,5477,3627,1850,0,0,0,0,2002
3390,9O15,,TX-L0582,AUSTIN,78702,TRAVIS,TX,14218,11518,2700,38800,27200,11600,7300,2002
3390,9O15,,TX-L0582,AUSTIN,78703,TRAVIS,TX,142753,57853,84900,366100,58000,308100,189100,2002
3390,9O15,,TX-L0582,AUSTIN,78705,TRAVIS,TX,1475,1475,0,0,0,0,0,2002
3390,9O15,,TX-L0582,AUSTIN,78741,TRAVIS,TX,16457,16457,0,0,0,0,0,2002
3390,9O15,,TX-L0582,AUSTIN,78744,TRAVIS,TX,987,987,0,3300,1000,2300,2300,2002
3390,9O15,,TX-L0582,AUSTIN,78763,TRAVIS,TX,0,0,0,37500,0,37500,37500,2002
3390,9O15,,TX-L0582,KYLE,78640,HAYS,TX,71523,31577,39946,0,0,0,0,2002
3390,9O15,,TX-L0582,LEANDER,78641,TRAVIS,TX,35158,9908,25250,0,0,0,0,2002
3390,9O15,,TX-L0582,MANCHACA,78652,TRAVIS,TX,107865,0,107865,121800,0,121800,13900,2002
3391,9O42,,TN-L0138,COLUMBIA,38401,MAURY,TN,369844,192347,177497,443600,161800,243800,89900,2002
3391,9O42,,TN-L0138,LAWRENCEBURG,38464,GILES,TN,40026,30551,9475,0,0,0,0,2002
3391,9O42,,TN-L0138,MOUNT PLEASANT,38474,MAURY,TN,15084,15084,0,15100,15100,0,0,2002
3391,9O42,,TN-L0138,PULASKI,38478,GILES,TN,62980,61480,1500,126500,50700,75800,75800,2002
3392,9O43,1402DR,KS-L0182,ARKANSAS CITY,67005,COWLEY,KS,19713,19713,0,10000,10000,0,0,2002
3392,9O43,1402DR,KS-L0182,BELLE PLAINE,67013,SUMNER,KS,0,0,0,33300,0,33300,33300,2002
3392,9O43,1402DR,KS-L0182,BENEDICT,66714,WILSON,KS,15075,5750,9325,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,BLUE MOUND,66010,LINN,KS,3700,3700,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,CAMBRIDGE,67023,COWLEY,KS,133,0,133,8100,0,8100,7900,2002
3392,9O43,1402DR,KS-L0182,CHANUTE,66720,NEOSHO,KS,1805,1805,0,7500,7500,0,0,2002
3392,9O43,1402DR,KS-L0182,EUREKA,67045,GREENWOOD,KS,1800,1700,100,1800,1700,100,0,2002
3392,9O43,1402DR,KS-L0182,FAIRWAY,66205,JOHNSON,KS,596,596,0,43800,43800,0,0,2002
3392,9O43,1402DR,KS-L0182,FORT SCOTT,66701,CRAWFORD,KS,10212,10212,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,GARNETT,66032,ANDERSON,KS,7596,4465,3131,16100,11500,4600,3800,2002
3392,9O43,1402DR,KS-L0182,GEUDA SPRINGS,67051,SUMNER,KS,1200,0,1200,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,GIRARD,66712,CRAWFORD,KS,3749,3749,0,3500,3500,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,64108,JOHNSON,KS,1923,1923,0,28100,28100,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,64110,JOHNSON,KS,6701,1800,4901,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66101,JOHNSON,KS,0,0,0,3000,0,3000,3000,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66104,JOHNSON,KS,450,450,0,20900,20900,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66108,JOHNSON,KS,0,0,0,2400,0,2400,2400,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66101,WYANDOTTE,KS,30660,17675,12985,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66102,WYANDOTTE,KS,21136,18536,2600,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66103,WYANDOTTE,KS,1700,1700,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66104,WYANDOTTE,KS,40043,33543,6500,14200,13700,500,500,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66105,WYANDOTTE,KS,2792,2792,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66106,WYANDOTTE,KS,6600,5700,900,5700,5700,0,0,2002
